Source Account Number,Mellon Security ID,Security Description 1,Shares/Par,Base Market Value
NPSF10013002,808625107,SCIENCE APPLICATIONS INTERNATI,5005 ,385935.55 
NPSF10014002,80862K104,SCICLONE PHARMACEUTICALS INC,8176 ,80533.60 
NPSF10014002,80874P109,SCIENTIFIC GAMES CORP,7853 ,186116.10 
NPSF10019002,810186106,SCOTTS MIRACLE-GRO CO/THE,8326 ,732771.26 
NPSF10013002,810186106,SCOTTS MIRACLE-GRO CO/THE,5053 ,444714.53 
NPSF10034002,810186106,SCOTTS MIRACLE-GRO CO/THE,6334 ,557455.34 
NPSF10014002,811054402,EW SCRIPPS CO/THE,8596 ,148796.76 
NPSF10014002,811904101,SEACOR HOLDINGS INC,2499 ,155187.90 
NPSF10014002,81616X103,SELECT COMFORT CORP,6615 ,199773.00 
NPSF10014002,81619Q105,SELECT MEDICAL HOLDINGS CORP,16430 ,229198.50 
NPSF10019002,816300107,SELECTIVE INSURANCE GROUP INC,41321 ,2105304.95 
NPSF10014002,816300107,SELECTIVE INSURANCE GROUP INC,8843 ,450550.85 
NPSF10014002,816850101,SEMTECH CORP,10032 ,367672.80 
NPSF10030002,816850101,SEMTECH CORP,37225 ,1364296.25 
NPSF10014002,817070501,SENECA FOODS CORP,929 ,29495.75 
NPSF10013002,81721M109,SENIOR HOUSING PROPERTIES TRUS,26861 ,572139.30 
NPSF10033002,81721M109,SENIOR HOUSING PROPERTIES TRUS,43511 ,926784.30 
NPSF10033002,81725T100,SENSIENT TECHNOLOGIES CORP,3064 ,251217.36 
NPSF10013002,81725T100,SENSIENT TECHNOLOGIES CORP,5023 ,411835.77 
NPSF10034002,81725T100,SENSIENT TECHNOLOGIES CORP,3914 ,320908.86 
NPSF10033002,817565104,SERVICE CORP INTERNATIONAL/US,13120 ,423513.60 
NPSF10013002,817565104,SERVICE CORP INTERNATIONAL/US,21445 ,692244.60 
NPSF10034002,817565104,SERVICE CORP INTERNATIONAL/US,16767 ,541238.76 
NPSF10019002,817565104,SERVICE CORP INTERNATIONAL/US,22631 ,730528.68 
NPSF10014002,81768T108,SERVISFIRST BANCSHARES INC,6766 ,237892.56 
NPSF10014002,819047101,SHAKE SHACK INC,2688 ,101068.80 
NPSF30015002,82481R106,SHIRE PLC,12986 ,2263459.80 
NPSF10014002,824889109,SHOE CARNIVAL INC,1985 ,40950.55 
NPSF10014002,82568P304,SHUTTERFLY INC,5138 ,260136.94 
NPSF10014002,825690100,SHUTTERSTOCK INC,2843 ,135667.96 
NPSF10037002,82620P102,SIERRA BANCORP,25550 ,621376.00 
NPSF10033002,82669G104,SIGNATURE BANK/NEW YORK NY,3248 ,474792.64 
NPSF10034002,82669G104,SIGNATURE BANK/NEW YORK NY,5163 ,754727.34 
NPSF10013002,82669G104,SIGNATURE BANK/NEW YORK NY,6111 ,893305.98 
NPSF10034002,826919102,SILICON LABORATORIES INC,6075 ,458966.25 
NPSF10013002,826919102,SILICON LABORATORIES INC,4746 ,358560.30 
NPSF10033002,827048109,SILGAN HOLDINGS INC,13734 ,445942.98 
NPSF10013002,827048109,SILGAN HOLDINGS INC,8658 ,281125.26 
NPSF10014002,828730200,SIMMONS FIRST NATIONAL CORP,4546 ,234119.00 
NPSF10014002,829073105,SIMPSON MANUFACTURING CO INC,6179 ,252535.73 
NPSF30017002,82929R304,SINGAPORE TELECOMMUNICATIONS L,97693 ,2678448.98 
NPSF10030002,830566105,SKECHERS U.S.A. INC,28564 ,748948.08 
NPSF10034002,830566105,SKECHERS U.S.A. INC,19221 ,503974.62 
NPSF10013002,830566105,SKECHERS U.S.A. INC,15143 ,397049.46 
NPSF10014002,830879102,SKYWEST INC,7904 ,277035.20 
NPSF10034002,831865209,AO SMITH CORP,21214 ,1171861.36 
NPSF10013002,831865209,AO SMITH CORP,16826 ,929468.24 
NPSF10013002,833551104,SNYDER'S-LANCE INC,9706 ,365819.14 
NPSF10033002,833551104,SNYDER'S-LANCE INC,15685 ,591167.65 
NPSF10019002,835451105,SONIC CORP,21838 ,650335.64 
NPSF10014002,835451105,SONIC CORP,6636 ,197620.08 
NPSF10018002,835451105,SONIC CORP,46080 ,1372262.40 
NPSF10014002,83545G102,SONIC AUTOMOTIVE INC,3936 ,75964.80 
NPSF10034002,835495102,SONOCO PRODUCTS CO,7421 ,383146.23 
NPSF10033002,835495102,SONOCO PRODUCTS CO,8735 ,450988.05 
NPSF10013002,835495102,SONOCO PRODUCTS CO,11219 ,579236.97 
NPSF30015002,83569C102,SONOVA HOLDING AG,52120 ,1733302.72 
NPSF10034002,835898107,SOTHEBY'S,6561 ,358099.38 
NPSF10013002,835898107,SOTHEBY'S,5182 ,282833.56 
NPSF10014002,838518108,SOUTH JERSEY INDUSTRIES INC,12077 ,445037.45 
NPSF10037002,843395104,SOUTHERN NATIONAL BANCORP OF V,21975 ,385661.25 
NPSF10014002,84470P109,SOUTHSIDE BANCSHARES INC,4093 ,136413.92 
NPSF10013002,844895102,SOUTHWEST GAS HOLDINGS INC,5408 ,436263.36 
NPSF10019002,844895102,SOUTHWEST GAS HOLDINGS INC,15637 ,1261436.79 
NPSF10034002,844895102,SOUTHWEST GAS HOLDINGS INC,6803 ,548798.01 
NPSF10013002,845467109,SOUTHWESTERN ENERGY CO,56291 ,339997.64 
NPSF10033002,845467109,SOUTHWESTERN ENERGY CO,39756 ,240126.24 
NPSF10034002,845467109,SOUTHWESTERN ENERGY CO,39685 ,239697.40 
NPSF10014002,847215100,SPARTANNASH CO,5756 ,176824.32 
NPSF10014002,84763A108,SPECTRUM PHARMACEUTICALS INC,11393 ,66307.26 
NPSF10018002,848577102,SPIRIT AIRLINES INC,19020 ,1033927.20 
NPSF10014002,84857L101,SPIRE INC,7327 ,523147.80 
NPSF10014002,84863T106,SPOK HOLDINGS INC,3072 ,53145.60 
NPSF10037002,84863T106,SPOK HOLDINGS INC,13300 ,230090.00 
NPSF10013002,85208M102,SPROUTS FARMERS MARKET INC,14778 ,360878.76 
NPSF10033002,85208M102,SPROUTS FARMERS MARKET INC,11895 ,290475.90 
NPSF10034002,85208M102,SPROUTS FARMERS MARKET INC,8943 ,218388.06 
NPSF10014002,852857200,STAMPS.COM INC,2373 ,332931.90 
NPSF10014002,853666105,STANDARD MOTOR PRODUCTS INC,3028 ,149492.36 
NPSF10019002,853666105,STANDARD MOTOR PRODUCTS INC,10227 ,504906.99 
NPSF10014002,854231107,STANDEX INTERNATIONAL CORP,1956 ,172910.40 
NPSF10033002,858119100,STEEL DYNAMICS INC,14542 ,499226.86 
NPSF10013002,858119100,STEEL DYNAMICS INC,27476 ,943251.08 
NPSF10034002,858119100,STEEL DYNAMICS INC,23305 ,800060.65 
NPSF10014002,858375108,STEIN MART INC,4604 ,6675.80 
NPSF10014002,858586100,STEPAN CO,2972 ,255710.88 
NPSF10014002,85917A100,STERLING BANCORP/DE,20502 ,453094.20 
NPSF10037002,859241101,STERLING CONSTRUCTION CO INC,78275 ,798405.00 
NPSF10014002,860372101,STEWART INFORMATION SERVICES C,3627 ,164266.83 
NPSF10033002,860630102,STIFEL FINANCIAL CORP,12470 ,548056.50 
NPSF10013002,860630102,STIFEL FINANCIAL CORP,7786 ,342194.70 
NPSF10019002,860630102,STIFEL FINANCIAL CORP,24552 ,1079060.40 
NPSF10014002,863236105,STRAYER EDUCATION INC,1562 ,140330.08 
NPSF10014002,864159108,STURM RUGER & CO INC,2796 ,182019.60 
NPSF10014002,864909106,SUCAMPO PHARMACEUTICALS INC,3701 ,38120.30 
NPSF10014002,866082100,SUMMIT HOTEL PROPERTIES INC,15685 ,283898.50 
NPSF10019002,866082100,SUMMIT HOTEL PROPERTIES INC,51666 ,935154.60 
NPSF10018002,86614U100,SUMMIT MATERIALS INC,38020 ,1030722.20 
NPSF10014002,86722A103,SUNCOKE ENERGY INC,9611 ,86499.00 
NPSF10014002,86800U104,SUPER MICRO COMPUTER INC,5645 ,139149.25 
NPSF10019002,86800U104,SUPER MICRO COMPUTER INC,26900 ,663085.00 
NPSF10034002,868157108,SUPERIOR ENERGY SERVICES INC,8771 ,90165.88 
NPSF10013002,868157108,SUPERIOR ENERGY SERVICES INC,17116 ,175952.48 
NPSF10030002,868157108,SUPERIOR ENERGY SERVICES INC,44454 ,456987.12 
NPSF10033002,868157108,SUPERIOR ENERGY SERVICES INC,16393 ,168520.04 
NPSF10014002,868168105,SUPERIOR INDUSTRIES INTERNATIO,3361 ,66715.85 
NPSF10014002,868459108,SUPERNUS PHARMACEUTICALS INC,7653 ,296553.75 
NPSF10014002,868536103,SUPERVALU INC,41538 ,168228.90 
NPSF10014002,868873100,SURMODICS INC,1985 ,49724.25 
NPSF10014002,871237103,SYKES ENTERPRISES INC,6064 ,206115.36 
NPSF30015002,87155N109,SYMRISE AG,96630 ,1752674.94 
NPSF10014002,87157B103,SYNCHRONOSS TECHNOLOGIES INC,6639 ,83850.57 
NPSF10030002,87157D109,SYNAPTICS INC,10000 ,577200.00 
NPSF10033002,87157D109,SYNAPTICS INC,6428 ,371024.16 
NPSF10013002,87157D109,SYNAPTICS INC,3960 ,228571.20 
NPSF10019002,871607107,SYNOPSYS INC,28822 ,2159632.46 
NPSF10013002,87161C501,SYNOVUS FINANCIAL CORP,13893 ,576559.50 
NPSF10033002,87161C501,SYNOVUS FINANCIAL CORP,10990 ,456085.00 
NPSF10034002,87161C501,SYNOVUS FINANCIAL CORP,9068 ,376322.00 
NPSF10013002,87162W100,SYNNEX CORP,3285 ,372716.10 
NPSF10033002,87162W100,SYNNEX CORP,5333 ,605082.18 
NPSF30015002,87184P109,SYSMEX CORP,78710 ,2363110.33 
NPSF10037002,871851101,SYSTEMAX INC,7975 ,134059.75 
NPSF10013002,872275102,TCF FINANCIAL CORP,19269 ,296935.29 
NPSF10033002,872275102,TCF FINANCIAL CORP,31061 ,478650.01 
NPSF10013002,87265H109,TRI POINTE GROUP INC,17810 ,222625.00 
NPSF10033002,87265H109,TRI POINTE GROUP INC,28990 ,362375.00 
NPSF10014002,87305R109,TTM TECHNOLOGIES INC,12904 ,211496.56 
NPSF10019002,87305R109,TTM TECHNOLOGIES INC,43553 ,713833.67 
NPSF10018002,87336U105,TABLEAU SOFTWARE INC,18180 ,1134977.40 
NPSF30017002,874039100,TAIWAN SEMICONDUCTOR MANUFACTU,121261 ,4352057.29 
NPSF30015002,874039100,TAIWAN SEMICONDUCTOR MANUFACTU,148070 ,5314232.30 
NPSF10014002,87403A107,TAILORED BRANDS INC,7302 ,79153.68 
NPSF10034002,874054109,TAKE-TWO INTERACTIVE SOFTWARE,14610 ,1141333.20 
NPSF10013002,874054109,TAKE-TWO INTERACTIVE SOFTWARE,11511 ,899239.32 
NPSF30017002,874060205,TAKEDA PHARMACEUTICAL CO LTD,196014 ,5052260.85 
NPSF10033002,875465106,TANGER FACTORY OUTLET CENTERS,5425 ,143491.25 
NPSF10013002,875465106,TANGER FACTORY OUTLET CENTERS,10904 ,288410.80 
NPSF10034002,875465106,TANGER FACTORY OUTLET CENTERS,9452 ,250005.40 
NPSF10013002,876664103,TAUBMAN CENTERS INC,6847 ,406711.80 
NPSF10033002,876664103,TAUBMAN CENTERS INC,4951 ,294089.40 
NPSF10034002,876664103,TAUBMAN CENTERS INC,4737 ,281377.80 
NPSF10014002,878155100,TEAM INC,4419 ,114452.10 
NPSF10033002,878237106,TECH DATA CORP,6329 ,652330.03 
NPSF10019002,878237106,TECH DATA CORP,10034 ,1034204.38 
NPSF10013002,878237106,TECH DATA CORP,3915 ,403519.05 
NPSF10033002,87901J105,TEGNA INC,38824 ,595948.40 
NPSF10013002,87901J105,TEGNA INC,24261 ,372406.35 
NPSF10034002,879360105,TELEDYNE TECHNOLOGIES INC,3442 ,459059.54 
NPSF10033002,879360105,TELEDYNE TECHNOLOGIES INC,2049 ,273275.13 
NPSF10013002,879360105,TELEDYNE TECHNOLOGIES INC,4003 ,533880.11 
NPSF10013002,879369106,TELEFLEX INC,5109 ,1042951.26 
NPSF10034002,879369106,TELEFLEX INC,3739 ,763279.46 
NPSF10019002,879369106,TELEFLEX INC,3444 ,703058.16 
NPSF10033002,879369106,TELEFLEX INC,3459 ,706120.26 
NPSF30017002,879382208,TELEFONICA SA,319056 ,3583003.37 
NPSF10013002,879433829,TELEPHONE & DATA SYSTEMS INC,10724 ,311424.96 
NPSF10033002,879433829,TELEPHONE & DATA SYSTEMS INC,17023 ,494347.92 
NPSF30017002,87960M205,TELIA CO AB,478832 ,4414831.04 
NPSF10014002,879939106,TELETECH HOLDINGS INC,2366 ,100791.60 
NPSF10034002,88023U101,TEMPUR SEALY INTERNATIONAL INC,3988 ,190307.36 
NPSF10033002,88023U101,TEMPUR SEALY INTERNATIONAL INC,3488 ,166447.36 
NPSF10013002,88023U101,TEMPUR SEALY INTERNATIONAL INC,5314 ,253584.08 
NPSF30015002,88031M109,TENARIS SA,31600 ,973912.00 
NPSF10033002,88033G407,TENET HEALTHCARE CORP,14518 ,252032.48 
NPSF10013002,88033G407,TENET HEALTHCARE CORP,8989 ,156049.04 
NPSF10014002,880345103,TENNANT CO,2715 ,190728.75 
NPSF10019002,880349105,TENNECO INC,12810 ,752459.40 
NPSF10013002,880770102,TERADYNE INC,22901 ,810924.41 
NPSF10033002,880770102,TERADYNE INC,15658 ,554449.78 
NPSF10034002,880770102,TERADYNE INC,16402 ,580794.82 
NPSF10019002,880770102,TERADYNE INC,41845 ,1481731.45 
NPSF10033002,880779103,TEREX CORP,17762 ,601243.70 
NPSF10013002,880779103,TEREX CORP,11083 ,375159.55 
NPSF10037002,88145X108,TERRITORIAL BANCORP INC,22350 ,684804.00 
NPSF10018002,881569107,TESARO INC,2610 ,389464.20 
NPSF30017002,881575302,TESCO PLC,587381 ,4175104.15 
NPSF10037002,88157K101,TESCO CORP,76775 ,368520.00 
NPSF10014002,88157K101,TESCO CORP,6991 ,33556.80 
NPSF10014002,88162F105,TETRA TECHNOLOGIES INC,17310 ,55392.00 
NPSF10014002,88162G103,TETRA TECH INC,8758 ,407684.90 
NPSF10019002,88162G103,TETRA TECH INC,378 ,17595.90 
NPSF10034002,88224Q107,TEXAS CAPITAL BANCSHARES INC,4700 ,354380.00 
NPSF10013002,88224Q107,TEXAS CAPITAL BANCSHARES INC,5602 ,422390.80 
NPSF10033002,88224Q107,TEXAS CAPITAL BANCSHARES INC,3053 ,230196.20 
NPSF10013002,882681109,TEXAS ROADHOUSE INC,7360 ,366748.80 
NPSF10034002,882681109,TEXAS ROADHOUSE INC,9253 ,461076.99 
NPSF10019002,882681109,TEXAS ROADHOUSE INC,12810 ,638322.30 
NPSF10013002,885160101,THOR INDUSTRIES INC,5432 ,502514.32 
NPSF10034002,885160101,THOR INDUSTRIES INC,6871 ,635636.21 
NPSF10033002,88554D205,3D SYSTEMS CORP,5545 ,114615.15 
NPSF10013002,88554D205,3D SYSTEMS CORP,12449 ,257320.83 
NPSF10034002,88554D205,3D SYSTEMS CORP,10760 ,222409.20 
NPSF10014002,88677Q109,TILE SHOP HOLDINGS INC,4938 ,99006.90 
NPSF10014002,887228104,TIME INC,15041 ,193276.85 
NPSF10035002,887317303,TIME WARNER INC,18082 ,1802775.40 
NPSF10033002,887389104,TIMKEN CO/THE,12698 ,598710.70 
NPSF10013002,887389104,TIMKEN CO/THE,7924 ,373616.60 
NPSF10014002,887399103,TIMKENSTEEL CORP,5829 ,78400.05 
NPSF10014002,88830M102,TITAN INTERNATIONAL INC,7532 ,81270.28 
NPSF10014002,88870P106,TIVO CORP,18477 ,327966.75 
NPSF10014002,88870R102,TIVITY HEALTH INC,4981 ,173836.90 
NPSF30017002,889094108,TOKIO MARINE HOLDINGS INC,96941 ,4154697.38 
NPSF10033002,889478103,TOLL BROTHERS INC,27070 ,1021892.50 
NPSF10013002,889478103,TOLL BROTHERS INC,16850 ,636087.50 
NPSF10014002,890110109,TOMPKINS FINANCIAL CORP,1849 ,142872.23 
NPSF10013002,890516107,TOOTSIE ROLL INDUSTRIES INC,1948 ,69339.19 
NPSF10034002,890516107,TOOTSIE ROLL INDUSTRIES INC,1681 ,59838.62 
NPSF10033002,890516107,TOOTSIE ROLL INDUSTRIES INC,1118 ,39807.21 
NPSF10014002,89055F103,TOPBUILD CORP,5753 ,309396.34 
NPSF10030002,89055F103,TOPBUILD CORP,26609 ,1431032.02 
NPSF10034002,891092108,TORO CO/THE,15592 ,1076315.76 
NPSF10013002,891092108,TORO CO/THE,12280 ,847688.40 
NPSF30017002,89151E109,TOTAL SA,9075 ,472807.50 
NPSF10014002,894650100,TREDEGAR CORP,3800 ,61370.00 
NPSF10033002,89469A104,TREEHOUSE FOODS INC,10318 ,807177.14 
NPSF10013002,89469A104,TREEHOUSE FOODS INC,6454 ,504896.42 
NPSF10030002,89531P105,TREX CO INC,17458 ,1161829.90 
NPSF10014002,89531P105,TREX CO INC,4523 ,301005.65 
NPSF10034002,896239100,TRIMBLE INC,23658 ,862807.26 
NPSF10033002,896239100,TRIMBLE INC,15953 ,581805.91 
NPSF10013002,896239100,TRIMBLE INC,28808 ,1050627.76 
NPSF10030002,896288107,TRINET GROUP INC,34394 ,1079971.60 
NPSF10033002,896522109,TRINITY INDUSTRIES INC,27888 ,727040.16 
NPSF10013002,896522109,TRINITY INDUSTRIES INC,17309 ,451245.63 
NPSF10014002,896818101,TRIUMPH GROUP INC,7611 ,255349.05 
NPSF10014002,89785X101,TRUEBLUE INC,6482 ,180523.70 
NPSF10014002,898349105,TRUSTCO BANK CORP NY,14361 ,107707.50 
NPSF10034002,898402102,TRUSTMARK CORP,4412 ,137389.68 
NPSF10033002,898402102,TRUSTMARK CORP,6646 ,206956.44 
NPSF10013002,898402102,TRUSTMARK CORP,7687 ,239373.18 
NPSF10013002,899896104,TUPPERWARE BRANDS CORP,5789 ,415592.31 
NPSF10033002,899896104,TUPPERWARE BRANDS CORP,5343 ,383573.97 
NPSF10034002,899896104,TUPPERWARE BRANDS CORP,2997 ,215154.63 
NPSF30015002,900148701,TURKIYE GARANTI BANKASI AS,479350 ,1288253.13 
NPSF10014002,902104108,II-VI INC,8386 ,259966.00 
NPSF10013002,902252105,TYLER TECHNOLOGIES INC,3806 ,652500.64 
NPSF10034002,902252105,TYLER TECHNOLOGIES INC,4811 ,824797.84 
NPSF10013002,902681105,UGI CORP,19678 ,1013810.56 
NPSF10033002,902681105,UGI CORP,31613 ,1628701.76 
NPSF10013002,902788108,UMB FINANCIAL CORP,4935 ,352507.05 
NPSF10034002,902788108,UMB FINANCIAL CORP,4217 ,301220.31 
NPSF10033002,902788108,UMB FINANCIAL CORP,2549 ,182075.07 
NPSF10019002,903293405,USG CORP,36417 ,1050630.45 
NPSF10014002,90333L201,US CONCRETE INC,2171 ,146433.95 
NPSF10014002,90337L108,US PHYSICAL THERAPY INC,1946 ,124544.00 
NPSF10014002,90346E103,US SILICA HOLDINGS INC,11184 ,427788.00 
NPSF10030002,90346E103,US SILICA HOLDINGS INC,20256 ,774792.00 
NPSF10030002,90347A100,UBIQUITI NETWORKS INC,10894 ,529012.64 
NPSF10034002,90385D107,ULTIMATE SOFTWARE GROUP INC/TH,4278 ,954165.12 
NPSF10013002,90385D107,ULTIMATE SOFTWARE GROUP INC/TH,3393 ,756774.72 
NPSF10018002,90385D107,ULTIMATE SOFTWARE GROUP INC/TH,5000 ,1115200.00 
NPSF10019002,904214103,UMPQUA HOLDINGS CORP,59138 ,1020130.50 
NPSF10013002,904214103,UMPQUA HOLDINGS CORP,24860 ,428835.00 
NPSF10033002,904214103,UMPQUA HOLDINGS CORP,40393 ,696779.25 
NPSF10014002,904677200,UNIFI INC,2288 ,65734.24 
NPSF10019002,904708104,UNIFIRST CORP/MA,5124 ,731194.80 
NPSF10014002,904708104,UNIFIRST CORP/MA,2360 ,336772.00 
NPSF30015002,904767704,UNILEVER PLC,46940 ,2632395.20 
NPSF30017002,904767704,UNILEVER PLC,43377 ,2432582.16 
NPSF10035002,904784709,UNILEVER NV,37600 ,2143952.00 
NPSF10014002,909218109,UNIT CORP,7932 ,145948.80 
NPSF10037002,909839102,UNITED COMMUNITY FINANCIAL COR,94300 ,761944.00 
NPSF10014002,90984P303,UNITED COMMUNITY BANKS INC/GA,10749 ,282376.23 
NPSF10013002,909907107,UNITED BANKSHARES INC/WV,11883 ,463437.00 
NPSF10033002,909907107,UNITED BANKSHARES INC/WV,10663 ,415857.00 
NPSF10034002,909907107,UNITED BANKSHARES INC/WV,6610 ,257790.00 
NPSF10014002,910340108,UNITED FIRE GROUP INC,3243 ,141751.53 
NPSF10037002,910710102,UNITED INSURANCE HOLDINGS CORP,46300 ,764413.00 
NPSF10014002,910710102,UNITED INSURANCE HOLDINGS CORP,2655 ,43834.05 
NPSF10033002,911163103,UNITED NATURAL FOODS INC,9186 ,379014.36 
NPSF10013002,911163103,UNITED NATURAL FOODS INC,5743 ,236956.18 
NPSF30017002,911271302,UNITED OVERSEAS BANK LTD,135692 ,4546631.84 
NPSF10034002,912909108,UNITED STATES STEEL CORP,12527 ,256803.50 
NPSF10033002,912909108,UNITED STATES STEEL CORP,15849 ,324904.50 
NPSF10013002,912909108,UNITED STATES STEEL CORP,19696 ,403768.00 
NPSF10013002,91307C102,UNITED THERAPEUTICS CORP,5105 ,642821.60 
NPSF10033002,91307C102,UNITED THERAPEUTICS CORP,2453 ,308881.76 
NPSF10034002,91307C102,UNITED THERAPEUTICS CORP,4504 ,567143.68 
NPSF10014002,91324P102,UNITEDHEALTH GROUP INC,0 ,31.79 
NPSF10018002,91325V108,UNITI GROUP INC,24110 ,616251.60 
NPSF10013002,91325V108,UNITI GROUP INC,17862 ,456552.72 
NPSF10034002,91325V108,UNITI GROUP INC,22501 ,575125.56 
NPSF10018002,91336L107,UNIVAR INC,41170 ,1284915.70 
NPSF10014002,913456109,UNIVERSAL CORP/VA,3853 ,257765.70 
NPSF10014002,913483103,UNIVERSAL ELECTRONICS INC,2179 ,144576.65 
NPSF10014002,913543104,UNIVERSAL FOREST PRODUCTS INC,3100 ,275745.00 
NPSF10014002,91359E105,UNIVERSAL HEALTH REALTY INCOME,1873 ,137253.44 
NPSF10014002,91359V107,UNIVERSAL INSURANCE HOLDINGS I,4901 ,123015.10 
NPSF10037002,913837100,UNIVERSAL STAINLESS & ALLOY PR,32300 ,569449.00 
NPSF10013002,917047102,URBAN OUTFITTERS INC,9911 ,194156.49 
NPSF10034002,917047102,URBAN OUTFITTERS INC,12719 ,249165.21 
NPSF10033002,91704F104,URBAN EDGE PROPERTIES,6492 ,156716.88 
NPSF10034002,91704F104,URBAN EDGE PROPERTIES,9425 ,227519.50 
NPSF10013002,91704F104,URBAN EDGE PROPERTIES,11345 ,273868.30 
NPSF10014002,917286205,URSTADT BIDDLE PROPERTIES INC,4453 ,84072.64 
NPSF10014002,91732J102,US ECOLOGY INC,3289 ,166587.85 
NPSF10034002,918194101,VCA INC,11651 ,1074455.22 
NPSF10013002,918194101,VCA INC,9247 ,852758.34 
NPSF10019002,91843L103,VWR CORP,22809 ,752697.00 
NPSF10018002,91879Q109,VAIL RESORTS INC,7789 ,1672064.63 
NPSF10033002,919794107,VALLEY NATIONAL BANCORP,47993 ,550479.71 
NPSF10019002,919794107,VALLEY NATIONAL BANCORP,100983 ,1158275.01 
NPSF10013002,919794107,VALLEY NATIONAL BANCORP,30157 ,345900.79 
NPSF10034002,920253101,VALMONT INDUSTRIES INC,1688 ,249486.40 
NPSF10013002,920253101,VALMONT INDUSTRIES INC,2550 ,376890.00 
NPSF10033002,920253101,VALMONT INDUSTRIES INC,1966 ,290574.80 
NPSF10013002,92047W101,VALVOLINE INC,23456 ,531507.05 
NPSF10033002,92047W101,VALVOLINE INC,17673 ,400464.61 
NPSF10034002,92047W101,VALVOLINE INC,15475 ,350663.50 
NPSF10014002,92214X106,VAREX IMAGING CORP,5740 ,197800.40 
NPSF10014002,92230Y104,VASCO DATA SECURITY INTERNATIO,4512 ,64296.00 
NPSF10033002,92240G101,VECTREN CORP,15188 ,940896.60 
NPSF10013002,92240G101,VECTREN CORP,9454 ,585675.30 
NPSF10014002,922417100,VEECO INSTRUMENTS INC,7184 ,220913.04 
NPSF10014002,92335C106,VERA BRADLEY INC,2811 ,24568.14 
NPSF10033002,92342Y109,VERIFONE SYSTEMS INC,20439 ,383231.25 
NPSF10013002,92342Y109,VERIFONE SYSTEMS INC,12496 ,234300.00 
NPSF10014002,923454102,VERITIV CORP,1724 ,78011.00 
NPSF10033002,92532W103,VERSUM MATERIALS INC,7311 ,233513.34 
NPSF10034002,92532W103,VERSUM MATERIALS INC,9981 ,318793.14 
NPSF10013002,92532W103,VERSUM MATERIALS INC,12397 ,395960.18 
NPSF10014002,92552R406,VIAD CORP,3056 ,136756.00 
NPSF10013002,92552V100,VIASAT INC,6052 ,408812.60 
NPSF10034002,92552V100,VIASAT INC,4901 ,331062.55 
NPSF10033002,92552V100,VIASAT INC,3371 ,227711.05 
NPSF10014002,925550105,VIAVI SOLUTIONS INC,35181 ,407044.17 
NPSF10019002,925550105,VIAVI SOLUTIONS INC,35123 ,406373.11 
NPSF10014002,925815102,VICOR CORP,2390 ,42661.50 
NPSF10014002,92827P102,VIRTUSA CORP,4130 ,121215.50 
NPSF10014002,92828Q109,VIRTUS INVESTMENT PARTNERS INC,1014 ,102718.20 
NPSF10019002,928298108,VISHAY INTERTECHNOLOGY INC,75003 ,1252550.10 
NPSF10033002,928298108,VISHAY INTERTECHNOLOGY INC,24571 ,410335.70 
NPSF10013002,928298108,VISHAY INTERTECHNOLOGY INC,15018 ,250800.60 
NPSF10014002,928377100,VISTA OUTDOOR INC,8616 ,190672.08 
NPSF10014002,92849E101,VITAMIN SHOPPE INC,3789 ,45089.10 
NPSF10014002,929236107,WD-40 CO,2155 ,230154.00 
NPSF10013002,92924F106,WGL HOLDINGS INC,5879 ,491072.87 
NPSF10033002,92924F106,WGL HOLDINGS INC,4885 ,408044.05 
NPSF10034002,92924F106,WGL HOLDINGS INC,3501 ,292438.53 
NPSF10018002,92932M101,WNS HOLDINGS LTD,36470 ,1217733.30 
NPSF30015002,92937A102,WPP PLC,29235 ,3313494.90 
NPSF10014002,929566107,WABASH NATIONAL CORP,9208 ,187382.80 
NPSF10013002,929740108,WABTEC CORP/DE,9816 ,814629.84 
NPSF10033002,929740108,WABTEC CORP/DE,5534 ,459266.66 
NPSF10034002,929740108,WABTEC CORP/DE,8046 ,667737.54 
NPSF10014002,930059100,WADDELL & REED FINANCIAL INC,12806 ,221927.98 
NPSF10030002,930427109,WAGEWORKS INC,16275 ,1175868.75 
NPSF10014002,930427109,WAGEWORKS INC,5614 ,405611.50 
NPSF10018002,930427109,WAGEWORKS INC,10230 ,739117.50 
NPSF10035002,931427108,WALGREENS BOOTS ALLIANCE INC,26300 ,2161334.00 
NPSF10014002,93148P102,WALKER & DUNLOP INC,4261 ,207723.75 
NPSF10013002,938824109,WASHINGTON FEDERAL INC,10069 ,328752.85 
NPSF10034002,938824109,WASHINGTON FEDERAL INC,12699 ,414622.35 
NPSF10033002,93964W108,WASHINGTON PRIME GROUP INC,33697 ,266543.27 
NPSF10013002,93964W108,WASHINGTON PRIME GROUP INC,20986 ,165999.26 
NPSF10019002,939653101,WASHINGTON REAL ESTATE INVESTM,31811 ,1037356.71 
NPSF10037002,940610108,WASHINGTON TRUST BANCORP INC,12100 ,587455.00 
NPSF10033002,942622200,WATSCO INC,2208 ,317333.76 
NPSF10018002,942622200,WATSCO INC,6155 ,884596.60 
NPSF10013002,942622200,WATSCO INC,3434 ,493534.48 
NPSF10034002,942622200,WATSCO INC,2648 ,380570.56 
NPSF10014002,942749102,WATTS WATER TECHNOLOGIES INC,4242 ,266397.60 
NPSF10013002,94770V102,WEBMD HEALTH CORP,4265 ,242379.95 
